0,15477858,https://ids.lib.harvard.edu/ids/view/15477858?height=500&width=500
1,436187946,https://ids.lib.harvard.edu/ids/view/436187946?height=500&width=500
2,20425001,https://ids.lib.harvard.edu/ids/view/20425001?height=500&width=500
3,20303691,https://ids.lib.harvard.edu/ids/view/20303691?height=500&width=500
4,20228509,https://ids.lib.harvard.edu/ids/view/20228509?height=500&width=500
5,20424225,https://ids.lib.harvard.edu/ids/view/20424225?height=500&width=500
6,20421930,https://ids.lib.harvard.edu/ids/view/20421930?height=500&width=500
0,0,0
0,0,0
9,8720745,https://ids.lib.harvard.edu/ids/view/8720745?height=500&width=500
